KabKot,H1. Persentase Jaminan Kesehatan,H2. Persentase Keluhan Kesehatan,H3. Persentase Kesakitan,H4. Jumlah Faskes,H5. Lama Rawat Inap,H6. Persentase Bayi Mendapatkan ASI sampai 1 tahun,H7. Persentase ASI sampai Baduta,H8. Rasio Dokter: Kecamatan,H9. Rasio Bidan:Desa/Kelurahan,H10. Rasio Jumlah Perawat:Kecamatan,H11. Angka Kematian Netto,H12. Rasio Posyandu Aktif:Desa/Kelurahan,H13. Persentase Ibu Mati Melahirkan,H14. Rata-rata Persentase Ibu Hamil Imunisasi Td,H15. Persentase Penanganan Neonatal,H16. Jumlah Bayi Mati Neonatal,H17. Persen BBLR,H18. Persentase Kunjunagn Neonatal Lengkap,H19. Persentase IMD,H20. Persentase ASI sampai 6 bulan,H21. Persen Pelayanan Kesehatan Bayi,H22. Cakupan Imunisasi Lanjutan DPT-HB-Hib 4 ,H23. Cakupan Imunisasi Lanjutan Campak/MR2,H24. Persentase Balita Timbang,H25. Persentase Balita Pendek,H26. Persentase Balita Kurus,H27. Persentase Kasus Gigi Dirujuk,H28. Jumlah Terduga TBC,H29. Persentase Keberhasilan Pengobatan TBC,H30. Persentase Pneumonia per Prediksi Terindikasi,H31. Persentase Diare Mendapat Pelayanan,H32. Persentase Hipertensi Mendapat Pelayanan,H33. Persentase DM Mendapat Pelayanan,H34. Persentase ODGJ Mendapat Pelayanan,H35. Persentase Sarana Air Minum Memenuhi Syarat,H36. Persentase Jamban Sehat,H37. Persentase Desa STBM,H38. TTU Memenuhi Syarat Kesehatan,H39. TPM Memenuhi Syarat Kesehatan
KAB. MOJOKERTO,105.59,41.75,16.75,14,5.4,4.01,95.79,79.67,2.15,76.5,22.9,3.4,0.11,26.24,65.4,64,3,100.2,52.7,71.8,88.4,99.86,99.27,40.3,6.8,6.3,50.15,3847,81.1,14.4,48.9,44.5,100,89,82.4,92.3,5.9,83.8,65.4
KAB. JOMBANG,111.91,35.18,17.94,13,4.35,4.36,96.61,18.76,3.88,83.67,26.2,4.89,0.1,10.6,91.4,105,4.4,102.8,79.5,79.4,87.5,101.17,95.85,54.7,17.9,9.8,1.8,4857,88,82.1,54.1,31.5,79.3,102,74,92.7,100,62.4,71.9
KAB. NGANJUK,72.97,,11.2,135,,4.66,98.13,26.4,2.68,58.85,32.9,3.18,0.08,21.76,64.3,98,4.3,,60.2,71.2,82.7,97.42,96.87,52.2,11.7,9,3.56,2309,79.2,26,39.2,14.4,78,137.8,81.3,99.5,100,75.1,68.9
KAB. MADIUN,82.13,31.46,18.55,224,5.13,4.32,97.26,26.2,2.07,51.6,21.2,3.48,0.17,27.09,77.7,51,4.5,,57.1,75.3,86.6,85.25,84.32,,17.2,9.7,1.37,2515,89.8,20,48.7,10,31.7,187,77.6,98.1,100,77.9,7.8
KAB. MAGETAN,44.52,23.39,13.08,113,4.74,4.71,94.43,8.61,2.25,38.17,18.1,3.35,,33.97,87.8,51,3.6,103.6,80.1,78,95.5,89.71,88.26,48.4,12.2,6.7,5.61,2172,96,47.9,57.2,55.5,122.5,185.7,86.1,100,100,79.3,70.3
KAB. NGAWI,58.23,26.86,9.17,106,5.56,5.28,96.89,9.37,2.98,60.95,29.8,4.88,0.09,16.13,71.8,75,3.7,97.2,65.2,75.4,102.8,105.5,106.09,,12.6,8.6,4.88,3376,92.5,30.5,30,28.7,89.9,86.7,70.5,100,100,68.8,59.8
KAB. BOJONEGORO,56.45,32.06,13.62,100,,4.78,97.45,13.96,2.33,48.25,26.2,3.55,0.16,21.35,78,106,4.9,103.7,82.5,89,103.1,100.24,98.31,70.1,5.9,4.9,1.28,3401,93.6,80.5,75.2,51,90.6,95.5,73.3,97.8,100,62.3,66.7
KAB. TUBAN,51.04,30.46,13.77,255,6.57,4.86,97.58,26.85,1.5,45.65,24.6,3.53,0.14,39.43,62.9,86,4.7,101.6,76.2,76.7,102.4,93.17,91.07,50.2,14.8,11.5,1.54,3405,92.3,42.9,44.8,18.9,83.8,62.4,82.8,87.9,100,51.7,56.4
KAB. LAMONGAN,66.07,26.35,11.97,133,5.83,4.68,98.15,9.56,2.04,69,26.1,2.88,0.08,27.23,60.7,76,3.8,106.7,69.6,68.5,99.4,97.96,94.19,51.2,9.2,8.7,2.52,6656,94.9,80.3,89.5,96.5,98.4,146.7,80.3,100,100,74.6,84
KAB. GRESIK,142.93,39.31,21.1,138,4.79,4.43,97.39,25.28,2.53,94.67,18.2,3.93,0.06,29,78.9,51,2.8,96.4,69.5,70.5,97.4,101.65,101.34,53.2,7.5,4.9,7.05,7540,91.7,86.1,100.2,12.9,67.4,64,78.8,100,100,67.4,38.2
